epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4391.4,1.29968,1.04698,1.33115,0.93943,0.88982,0.95309,0.64354,1.14727,0.67161,1.22119,0.007921,0.007921,0.007921
44,4483.41,1.30567,1.04661,1.33919,0.9229,0.89817,0.95257,0.63437,1.21042,0.67584,1.23519,0.0078715,0.0078715,0.0078715
45,4576.72,1.29903,1.05591,1.33109,0.93543,0.90936,0.96012,0.6503,1.15321,0.64775,1.20913,0.007822,0.007822,0.007822
46,4669.24,1.28834,1.05188,1.32551,0.93539,0.899,0.95377,0.64766,1.16358,0.67152,1.21417,0.0077725,0.0077725,0.0077725
47,4761.79,1.29098,1.02183,1.32178,0.93259,0.89805,0.95186,0.63674,1.20159,0.67631,1.23786,0.007723,0.007723,0.007723
48,4856.88,1.28145,1.02436,1.33233,0.90807,0.90826,0.94931,0.63485,1.19767,0.68833,1.23615,0.0076735,0.0076735,0.0076735
49,4949.54,1.28568,1.01673,1.32862,0.92935,0.89659,0.95034,0.64754,1.16567,0.64948,1.20975,0.007624,0.007624,0.007624
50,5041.89,1.28413,1.01722,1.32222,0.93328,0.90591,0.95285,0.64357,1.17144,0.64833,1.22119,0.0075745,0.0075745,0.0075745
51,5134.27,1.2741,1.01142,1.31302,0.94048,0.89217,0.95651,0.65871,1.12148,0.63725,1.19941,0.007525,0.007525,0.007525
52,5226.25,1.26469,0.99565,1.31888,0.94193,0.8948,0.95381,0.63423,1.23768,0.64045,1.23546,0.0074755,0.0074755,0.0074755
53,5318.14,1.27155,0.99513,1.31714,0.92279,0.91528,0.95724,0.63406,1.21981,0.64571,1.22999,0.007426,0.007426,0.007426
54,5409.96,1.26779,0.98661,1.31257,0.93332,0.92232,0.95781,0.6501,1.15653,0.62866,1.20995,0.0073765,0.0073765,0.0073765
55,5503.99,1.25249,0.9822,1.30227,0.94347,0.91076,0.96032,0.65503,1.15158,0.63562,1.20779,0.007327,0.007327,0.007327
56,5596.31,1.26739,0.99329,1.30862,0.94363,0.90895,0.96026,0.65591,1.15323,0.62039,1.20209,0.0072775,0.0072775,0.0072775
57,5688.96,1.26489,0.97979,1.30428,0.94294,0.9184,0.95885,0.64593,1.18185,0.63841,1.21424,0.007228,0.007228,0.007228
58,5781.76,1.25412,0.98568,1.30007,0.94874,0.90831,0.962,0.6664,1.13897,0.61833,1.19902,0.0071785,0.0071785,0.0071785
59,5873.65,1.25026,0.97261,1.29901,0.95158,0.89243,0.9607,0.65827,1.16697,0.61683,1.20115,0.007129,0.007129,0.007129
60,5965.93,1.25851,0.9854,1.3039,0.94966,0.90366,0.96239,0.64722,1.18181,0.61957,1.21461,0.0070795,0.0070795,0.0070795
61,6058.47,1.25432,0.98038,1.30333,0.93095,0.91512,0.95987,0.65647,1.16245,0.61867,1.21299,0.00703,0.00703,0.00703
62,6150.7,1.25177,0.97478,1.30402,0.93853,0.91531,0.96052,0.66079,1.14589,0.61254,1.19865,0.0069805,0.0069805,0.0069805
63,6242.79,1.25513,0.98711,1.30556,0.93076,0.91676,0.96034,0.6439,1.20566,0.62668,1.22351,0.006931,0.006931,0.006931
64,6334.49,1.25676,0.97599,1.30491,0.94507,0.91313,0.96343,0.6572,1.16017,0.61819,1.20548,0.0068815,0.0068815,0.0068815
65,6427.83,1.22718,0.94013,1.28423,0.94257,0.90676,0.9659,0.66717,1.11606,0.61288,1.1866,0.006832,0.006832,0.006832
66,6520.17,1.2355,0.95054,1.292,0.94494,0.92406,0.96817,0.67908,1.10663,0.5893,1.18218,0.0067825,0.0067825,0.0067825
67,6612.47,1.23369,0.93431,1.28719,0.94109,0.91728,0.96584,0.6805,1.09884,0.58526,1.18055,0.006733,0.006733,0.006733
68,6704.91,1.23107,0.93707,1.2817,0.95343,0.91832,0.97131,0.67277,1.1345,0.57911,1.182,0.0066835,0.0066835,0.0066835
69,6796.45,1.23254,0.93506,1.28982,0.95158,0.90903,0.96929,0.67549,1.09998,0.58901,1.17751,0.006634,0.006634,0.006634
70,6892.27,1.21864,0.9277,1.282,0.94343,0.92391,0.96879,0.67038,1.12196,0.58302,1.18182,0.0065845,0.0065845,0.0065845
71,6981.23,1.21088,0.91423,1.27165,0.94915,0.92035,0.96659,0.65804,1.17515,0.59779,1.19967,0.006535,0.006535,0.006535
72,7069.29,1.22498,0.93288,1.27866,0.94072,0.92784,0.96547,0.6842,1.07627,0.58131,1.17831,0.0064855,0.0064855,0.0064855
73,7157.76,1.21984,0.92406,1.27954,0.94504,0.92698,0.96613,0.66441,1.14437,0.59491,1.18957,0.006436,0.006436,0.006436
74,7251.43,1.21036,0.90204,1.26901,0.95661,0.91682,0.97034,0.68611,1.06139,0.56483,1.15994,0.0063865,0.0063865,0.0063865
75,7343.4,1.21334,0.90667,1.26896,0.94733,0.91767,0.96504,0.67559,1.10609,0.58274,1.17521,0.006337,0.006337,0.006337
76,7435.48,1.21826,0.91949,1.28128,0.94642,0.92285,0.96804,0.70131,1.01666,0.56048,1.14816,0.0062875,0.0062875,0.0062875
77,7528.21,1.21756,0.89602,1.27064,0.94075,0.93369,0.96714,0.68243,1.09361,0.55866,1.17619,0.006238,0.006238,0.006238
78,7620.54,1.21593,0.92334,1.27507,0.93475,0.93023,0.96645,0.6747,1.11944,0.56701,1.17622,0.0061885,0.0061885,0.0061885
79,7713.49,1.20389,0.89675,1.26501,0.94292,0.92746,0.97021,0.67935,1.08985,0.57792,1.17337,0.006139,0.006139,0.006139
80,7806.11,1.19945,0.88516,1.26463,0.95541,0.92973,0.97153,0.68635,1.08896,0.56303,1.17133,0.0060895,0.0060895,0.0060895
81,7898.84,1.19883,0.88995,1.2573,0.95061,0.93054,0.97241,0.70714,1.02595,0.55235,1.1514,0.00604,0.00604,0.00604
82,7990.67,1.19168,0.88399,1.24959,0.9444,0.93187,0.9722,0.70035,1.03641,0.54592,1.1519,0.0059905,0.0059905,0.0059905
83,8083.87,1.20866,0.89997,1.26938,0.94362,0.9278,0.97091,0.70316,1.01557,0.54932,1.14283,0.005941,0.005941,0.005941
84,8176.57,1.18761,0.90028,1.25071,0.94687,0.92414,0.97072,0.71595,0.9778,0.54219,1.13896,0.0058915,0.0058915,0.0058915
85,8268.53,1.1959,0.88054,1.26241,0.95708,0.92536,0.97284,0.7196,0.96953,0.52994,1.13484,0.005842,0.005842,0.005842
86,8360.27,1.20104,0.88261,1.26568,0.95019,0.935,0.97168,0.69253,1.0532,0.54759,1.15131,0.0057925,0.0057925,0.0057925
87,8454.48,1.1885,0.89807,1.2546,0.95343,0.93658,0.97537,0.70993,1.00017,0.53891,1.13622,0.005743,0.005743,0.005743
88,8548.56,1.19851,0.90262,1.26558,0.95848,0.92224,0.97219,0.69133,1.05879,0.54947,1.1622,0.0056935,0.0056935,0.0056935
89,8641.46,1.18613,0.87718,1.25868,0.96316,0.92989,0.97469,0.71942,0.96906,0.5293,1.13103,0.005644,0.005644,0.005644
90,8733.94,1.2,0.8796,1.26061,0.95416,0.92811,0.97441,0.71498,0.9849,0.52827,1.13029,0.0055945,0.0055945,0.0055945
91,8826.47,1.19783,0.88792,1.26181,0.95338,0.92595,0.97236,0.71634,0.99024,0.54384,1.1346,0.005545,0.005545,0.005545
92,8919.58,1.18562,0.88267,1.24948,0.95137,0.93555,0.97701,0.72317,0.9774,0.51849,1.12191,0.0054955,0.0054955,0.0054955
93,9011.61,1.17313,0.85219,1.24801,0.95278,0.93613,0.97708,0.7125,0.99966,0.5226,1.13482,0.005446,0.005446,0.005446
94,9105.39,1.17261,0.86518,1.24739,0.96155,0.92282,0.97309,0.70797,1.00974,0.53224,1.13462,0.0053965,0.0053965,0.0053965
95,9196.86,1.16109,0.84205,1.22739,0.96072,0.91991,0.97414,0.71777,0.97836,0.53183,1.13135,0.005347,0.005347,0.005347
96,9289.4,1.16595,0.85245,1.23952,0.95636,0.9287,0.97576,0.72692,0.95801,0.52618,1.12,0.0052975,0.0052975,0.0052975
97,9382.3,1.16177,0.84052,1.23543,0.95391,0.93632,0.97671,0.72218,0.97039,0.51908,1.12479,0.005248,0.005248,0.005248
98,9474.51,1.16469,0.84702,1.23849,0.9527,0.93998,0.97694,0.71177,1.00276,0.51713,1.13175,0.0051985,0.0051985,0.0051985
